atomicNumber,symbol,name,atomicMass,cpkColorHex,electronConfiguration,electronegativityPauling,atomicRadiusPM,ionRadiusInPM,vanderWaalsRadiusInPM,IE-1inkJ/mol,EAinkJ/mol,standardStates,bondingType,meltingPointInK,boilingPointInK,densityIng/mL,metalorNonmetal,yearDiscovered
1,H,Hydrogen,1.00794(4),FFFFFF,1s1,2.2,37,,120,1312,-73,gas,diatomic,14,20,8.99E-05,1,1766
2,He,Helium,4.002602(2),D9FFFF,1s2,,32,,140,2372,0,gas,atomic,,4,0,2,1868
3,Li,Lithium,6.941(2),CC80FF,[He]2s1,0.98,134,76(+1),182,520,-60,solid,metallic,454,1615,0.54,3,1817
4,Be,Beryllium,9.012182(3),C2FF00,[He]2s2,1.57,90,45(+2),,900,0,solid,metallic,1560,2743,1.85,4,1798
5,B,Boron,10.811(7),FFB5B5,[He]2s22p1,2.04,82,27(+3),,801,-27,solid,covalentnetwork,2348,4273,2.46,5,1807
6,C,Carbon,12.0107(8),909090,[He]2s22p2,2.55,77,16(+4),170,1087,-154,solid,covalentnetwork,3823,4300,2.26,1,Ancient
7,N,Nitrogen,14.0067(2),3050F8,[He]2s22p3,3.04,75,146(-3),155,1402,-7,gas,diatomic,63,77,0,1,1772
8,O,Oxygen,15.9994(3),FF0D0D,[He]2s22p4,3.44,73,140(-2),152,1314,-141,gas,diatomic,55,90,0,1,1774
9,F,Fluorine,18.9984032(5),9E+51,[He]2s22p5,3.98,71,133(-1),147,1681,-328,gas,atomic,54,85,0,6,1670
10,Ne,Neon,20.1797(6),B3E3F5,[He]2s22p6,,69,,154,2081,0,gas,atomic,25,27,0,2,1898
11,Na,Sodium,22.98976928(2),AB5CF2,[Ne]3s1,0.93,154,102(+1),227,496,-53,solid,metallic,371,1156,0.97,3,1807
12,Mg,Magnesium,24.3050(6),8AFF00,[Ne]3s2,1.31,130,72(+2),173,738,0,solid,metallic,923,1363,1.74,4,1808
13,Al,Aluminium,26.9815386(8),BFA6A6,[Ne]3s23p1,1.61,118,53.5(+3),,578,-43,solid,metallic,933,2792,2.7,7,Ancient
14,Si,Silicon,28.0855(3),F0C8A0,[Ne]3s23p2,1.9,111,40(+4),210,787,-134,solid,metallic,1687,3173,2.33,5,1854
15,P,Phosphorus,30.973762(2),FF8000,[Ne]3s23p3,2.19,106,44(+3),180,1012,-72,solid,covalentnetwork,317,554,1.82,1,1669
16,S,Sulfur,32.065(5),FFFF30,[Ne]3s23p4,2.58,102,184(-2),180,1000,-200,solid,covalentnetwork,388,718,1.96,1,Ancient
17,Cl,Chlorine,35.453(2),1FF01F,[Ne]3s23p5,3.16,99,181(-1),175,1251,-349,gas,covalentnetwork,172,239,0,6,1774
18,Ar,Argon,39.948(1),80D1E3,[Ne]3s23p6,,97,,188,1521,0,gas,atomic,84,87,0,2,1894
19,K,Potassium,39.0983(1),8F40D4,[Ar]4s1,0.82,196,138(+1),275,419,-48,solid,metallic,337,1032,0.86,3,1807
